"","Amblyospiza albifrons","Andropadus importunus","Bycanistes bucinator","Cercopithecus mitis","Coracina caesia","Dicrurus adsimilis","Geokichla guttata","Lamprotornis nitens","Lybius torquatus","Notopholia corrusca","Onychognathus morio","Oriolus larvatus","Parus niger","Phoeniculus purpureus","Ploceus bicolor","Pogoniulus pusillus","Pycnonotus barbatus","Tauraco corythaix","Tockus alboterminatus","Treron calvus","Turdus olivaceus","Zosterops pallidus"
"Bersama swinnyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cassipourea gummiflua",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Celtis africana",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Chaetachme aristata",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Coccinia mackenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Commiphora harveyi",0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
"Commiphora woodii",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"Croton sylvaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Cryptocarya myrtifolia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cussonia nicholsonii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ekebergia capensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ficus burtt-davyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ficus sur",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ficus thonningii",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0
"Halleria lucida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Harpephyllum caffrum",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Macaranga capensis",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Olea capensis subsp. enervis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Phoenix reclinata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Phyllanthus myrtaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Protorhus longifolia",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Rhoicissus tridentata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rhus chirindensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rhus lucida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Schefflera umbellifera",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Sclerocroton integerrimus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Trema orientalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Trichilia dregeana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
