"","Amblyospiza albifrons","Andropadus importunus","Bycanistes bucinator","Cinnyricinclus leucogaster","Colius striatus","Columba arquatrix","Crithagra flaviventris","Crithagra gularis","Crithagra mozambica","Crithagra sulphurata","Cyanomitra olivacea","Cyanomitra veroxii","Hedydipna collaris","Lamprotornis nitens","Lybius torquatus","Notopholia corrusca","Onychognathus morio","Oriolus larvatus","Parus niger","Ploceus bicolor","Ploceus ocularis","Pogoniulus bilineatus","Pogoniulus pusillus","Pycnonotus barbatus","Streptopelia capicola","Sylvia borin","Tauraco corythaix","Tockus alboterminatus","Treron calvus","Turdus olivaceus","Zosterops capensis"
"Bridelia micrantha",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1
"Celtis africana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Ficus ingens",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"Ficus thonningii",0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1
"Harpephyllum caffrum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Maesa lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"Protorhus longifolia",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
"Rapanea melanophloeos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Searsia chirindensis",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1
"Searsia rehmanniana",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1
"Syzygium cordatum",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
"Trichilia dregeana",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zanthoxylum capense",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
